
2025/10/17 (06:43:26) | ===> btop++ v.1.3.0
2025/10/17 (06:43:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/17 (06:43:28) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:30) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:32) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:34) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:36) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:38) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:40) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:42) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:44) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:46) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:48) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:50) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:52) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:54) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:56) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:43:58) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:44:00) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:44:02) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:44:04) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:44:06) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:44:08) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:44:10) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:44:12) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:44:14) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:44:16) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:44:18) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:44:20) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
